id,IATA,en-GB,latitude,longitude,vibes
128668435,ELS,East London,-33.036111,27.823889,
129054589,GON,Groton-New London,41.328889,-72.046389,
95565047,LCY,London City,51.503753,0.048512,"{""nightlife_and_entertainment"":""1"",""underrated_destinations"":""0"",""beach"":""0"",""art_and_culture"":""1"",""great_food"":""1"",""outdoor_adventures"":""0""}"
95565051,LGW,London Gatwick,51.148056,-0.196667,"{""nightlife_and_entertainment"":""1"",""underrated_destinations"":""0"",""beach"":""0"",""art_and_culture"":""1"",""great_food"":""1"",""outdoor_adventures"":""0""}"
95565050,LHR,London Heathrow,51.471389,-0.452778,"{""nightlife_and_entertainment"":""1"",""underrated_destinations"":""0"",""beach"":""0"",""art_and_culture"":""1"",""great_food"":""1"",""outdoor_adventures"":""0""}"
129057988,LOZ,Corbin-London,37.087222,-84.076944,
95565053,LTN,London Luton,51.878704,-0.375705,"{""nightlife_and_entertainment"":""1"",""underrated_destinations"":""0"",""beach"":""0"",""art_and_culture"":""1"",""great_food"":""1"",""outdoor_adventures"":""0""}"
95565054,SEN,London Southend,51.5701698,0.6922722,"{""nightlife_and_entertainment"":""1"",""underrated_destinations"":""0"",""beach"":""0"",""art_and_culture"":""1"",""great_food"":""1"",""outdoor_adventures"":""0""}"
95565052,STN,London Stansted,51.883333,0.233333,"{""nightlife_and_entertainment"":""1"",""underrated_destinations"":""0"",""beach"":""0"",""art_and_culture"":""1"",""great_food"":""1"",""outdoor_adventures"":""0""}"
95673743,YXU,London,43.04,-81.15,
